run,seed,strategy,top_k,oracle_top10_overlap,affected_jobs_total,affected_job_minutes_total,affected_jobs_developer_window,affected_job_minutes_developer_window,p95_wait_seconds_developer_window,p99_wait_seconds_developer_window,minutes_avoided_total,percent_minutes_saved_total,minutes_avoided_developer_window,percent_minutes_saved_developer_window,affected_jobs_avoided_developer_window
4,20260624,count,10,2,1997,1547.2938342040613,931,723.8810473395699,36.68470460217631,60.916280991091654,969.313754679569,38.516682495961064,241.57101676855973,25.021544388298494,225
4,20260624,dev_weighted_count,10,1,1991,1598.7061411282186,947,764.8177915468546,37.474518759431646,64.86561161288373,917.9014477554117,36.47376141635946,200.6342725612751,20.781381077331694,209
4,20260624,recent_count,10,1,1990,1612.4941327799781,951,772.9359307668989,37.972338098231454,64.86561161288373,904.1134561036522,35.9258813371344,192.51613334123078,19.94051703841706,205
4,20260624,peak_concurrency,10,3,2000,1532.8357570380142,905,691.8488997989045,30.605991304620456,53.397535925761694,983.7718318456161,39.09118911470891,273.6031643092251,28.339383640137086,251
4,20260624,hybrid_count_concurrency_a0.5,10,3,2000,1524.7569506070347,910,692.4823165864588,36.68470460217631,53.397535925761694,991.8506382765956,39.41220882658872,272.9697475216709,28.27377532967795,246
4,20260624,count_x_pull_time,10,4,1999,1465.0031815214904,895,655.957604949161,30.605991304620456,52.83741243105514,1051.60440736214,41.78658651461163,309.49445915896865,32.05694727525131,261
4,20260624,dev_weighted_count_x_pull_time,10,2,1983,1502.3103947401287,979,754.9165126345816,37.474518759431646,60.916280991091654,1014.2971941435017,40.30414589163045,210.53555147354803,21.80693990934057,177
4,20260624,model_exposure_dev,10,4,1970,1443.2930817328593,838,613.4288164508363,25.748398389245843,53.397535925761694,1073.314507150771,42.64925973726776,352.0232476572934,36.46201201946647,318
4,20260624,oracle_impact_upper_bound,10,10,2022,1426.9000069742879,629,413.65393616618627,0.0,45.430663707606556,1089.7075819093425,43.300655482515566,551.7981279419434,57.154378602078644,527
5,20260625,count,10,1,1988,1792.5996804977212,961,871.5080754957231,33.982245137925844,73.84927544870916,902.984263087918,33.49865120085176,209.50349965194562,19.380319736477098,211
5,20260625,dev_weighted_count,10,1,1985,1779.4197152618892,980,882.1705030830466,34.31783174015392,73.84927544870916,916.16422832375,33.98759777093335,198.84107206462215,18.393981770034237,192
5,20260625,recent_count,10,1,1985,1803.582146447671,973,887.208301561078,36.40735074803689,73.84927544870916,892.0017971379682,33.09122682899781,193.80327358659076,17.927955448591455,199
5,20260625,peak_concurrency,10,1,1988,1792.5996804977212,961,871.5080754957231,33.982245137925844,73.84927544870916,902.984263087918,33.49865120085176,209.50349965194562,19.380319736477098,211
5,20260625,hybrid_count_concurrency_a0.5,10,1,1988,1792.5996804977212,961,871.5080754957231,33.982245137925844,73.84927544870916,902.984263087918,33.49865120085176,209.50349965194562,19.380319736477098,211
5,20260625,count_x_pull_time,10,3,1998,1696.106190829356,918,795.4706373881068,33.982245137925844,71.07260623441668,999.4777527562833,37.078339004601276,285.540937759562,26.414234992863644,254
5,20260625,dev_weighted_count_x_pull_time,10,3,1999,1665.095432351521,928,791.4522575953163,33.982245137925844,71.07260623441668,1030.4885112341183,38.22876722820113,289.55931755235247,26.785959022945523,244
5,20260625,model_exposure_dev,10,7,1995,1429.3556193467716,764,558.1454807726475,27.746353080794897,60.62662986506174,1266.2283242388676,46.974175196879344,522.8660943750212,48.36822346732009,408
5,20260625,oracle_impact_upper_bound,10,10,2018,1509.9515794563208,642,448.0056225461991,0.0,45.55396042331819,1185.6323641293184,43.984249385022004,633.0059526014696,58.5568154082901,530
6,20260626,count,10,0,1963,1492.1785486780552,983,757.1364187394482,35.045295744944,60.29137862458663,869.4076277699353,36.81456287475362,138.10519802079955,15.426583777526186,182
6,20260626,dev_weighted_count,10,1,1963,1484.5716257569877,977,749.1928771735649,35.045295744944,60.29137862458663,877.0145506910028,37.13667362374643,146.04873958668293,16.31389078126334,188
6,20260626,recent_count,10,1,1979,1521.8873449695254,936,723.8146997281935,32.417245612751685,60.29137862458663,839.6988314784651,35.55656108816819,171.42691703205423,19.14867604707921,229
6,20260626,peak_concurrency,10,0,1963,1492.1785486780552,983,757.1364187394482,35.045295744944,60.29137862458663,869.4076277699353,36.81456287475362,138.10519802079955,15.426583777526186,182
6,20260626,hybrid_count_concurrency_a0.5,10,0,1963,1492.1785486780552,983,757.1364187394482,35.045295744944,60.29137862458663,869.4076277699353,36.81456287475362,138.10519802079955,15.426583777526186,182
6,20260626,count_x_pull_time,10,1,1963,1449.7431477221653,976,730.9861982614094,35.045295744944,57.170928977483946,911.8430287258252,38.61146537101212,164.25541849883837,18.34760755350666,189
6,20260626,dev_weighted_count_x_pull_time,10,2,1965,1438.9344080504382,967,718.8043895396324,32.417245612751685,57.170928977483946,922.6517683975524,39.069155197431435,176.43722722061534,19.708336153888446,198
