run,seed,strategy,top_k,oracle_top10_overlap,affected_jobs_total,affected_job_minutes_total,affected_jobs_developer_window,affected_job_minutes_developer_window,p95_wait_seconds_developer_window,p99_wait_seconds_developer_window,minutes_avoided_total,percent_minutes_saved_total,minutes_avoided_developer_window,percent_minutes_saved_developer_window,affected_jobs_avoided_developer_window
16,20260636,oracle_impact_upper_bound,10,10,2006,1376.8585627214827,691,490.83772896270165,0.0,48.19202720670749,1095.3479181834152,44.30649003810097,569.2454116773013,53.69818553416775,534
17,20260637,count,10,1,1986,1519.5111249941785,927,724.503572778723,31.556236932258265,62.51238432627902,961.9762892694891,38.76611598914503,193.72531136958992,21.097714819685336,211
17,20260637,dev_weighted_count,10,1,1986,1519.5111249941785,927,724.503572778723,31.556236932258265,62.51238432627902,961.9762892694891,38.76611598914503,193.72531136958992,21.097714819685336,211
17,20260637,recent_count,10,2,1987,1565.3288172203625,905,712.6996547195315,31.556236932258265,54.107500071091735,916.1585970433052,36.91973579141271,205.52922942878138,22.383224158692894,233
17,20260637,peak_concurrency,10,1,1988,1535.7799325592707,920,726.8066641999321,31.556236932258265,62.51238432627902,945.707481704397,38.11050889351446,191.42221994838076,20.846895937708506,218
17,20260637,hybrid_count_concurrency_a0.5,10,1,1986,1519.5111249941785,927,724.503572778723,31.556236932258265,62.51238432627902,961.9762892694891,38.76611598914503,193.72531136958992,21.097714819685336,211
17,20260637,count_x_pull_time,10,3,1989,1421.5345417377748,904,654.2612904847648,31.556236932258265,53.21820651833806,1059.9528725258929,42.71441662098508,263.9675936635481,28.74747225016632,234
17,20260637,dev_weighted_count_x_pull_time,10,2,1986,1481.8121553688768,919,702.0762170029736,31.556236932258265,54.107500071091735,999.6752588947909,40.28532456576753,216.15266714533925,23.540172921681492,219
17,20260637,model_exposure_dev,10,7,1998,1444.8140119996845,707,469.3680666969136,0.0,42.85477037265611,1036.6734022639832,41.77629095780023,448.86081745139927,48.883325846118666,431
17,20260637,oracle_impact_upper_bound,10,10,2013,1532.8537269877572,616,420.2952198670126,0.0,43.89858129504323,948.6336872759105,38.228430328646205,497.9336642813003,54.227619374351306,522
18,20260638,count,10,1,1984,1512.800259548001,902,705.6704084225031,29.89946525868202,60.20963920016796,750.6311912960148,33.16341614923263,169.21983281993255,19.341835677538555,208
18,20260638,dev_weighted_count,10,1,1984,1512.800259548001,902,705.6704084225031,29.89946525868202,60.20963920016796,750.6311912960148,33.16341614923263,169.21983281993255,19.341835677538555,208
18,20260638,recent_count,10,1,1984,1521.1116781357605,876,687.31158709887,29.89946525868202,60.20963920016796,742.3197727082552,32.79621180625771,187.5786541435657,21.440249908055254,234
18,20260638,peak_concurrency,10,0,1974,1603.3990872454274,926,746.735487023957,30.588360936734986,60.784114402929276,660.0323635985883,29.160695958009573,128.15475421847862,14.648095061214246,184
18,20260638,hybrid_count_concurrency_a0.5,10,0,1973,1564.7760864112897,938,741.974292918447,30.588360936734986,60.5064741599066,698.655364432726,30.86708741155836,132.9159483239887,15.192299794684432,172
18,20260638,count_x_pull_time,10,2,1984,1453.4584788046495,887,673.7442798582058,29.89946525868202,58.226287028634715,809.9729720393661,35.78517793138085,201.14596138422985,22.99099383010394,223
18,20260638,dev_weighted_count_x_pull_time,10,2,1984,1453.4584788046495,887,673.7442798582058,29.89946525868202,58.226287028634715,809.9729720393661,35.78517793138085,201.14596138422985,22.99099383010394,223
18,20260638,model_exposure_dev,10,7,1990,1232.131782366017,726,454.6140646940415,0.0,45.81575580094296,1031.2996684779987,45.56354768744753,420.2761765483942,48.037588801031546,384
18,20260638,oracle_impact_upper_bound,10,10,2010,1272.9918708390721,623,383.27855325348236,0.0,42.310899397562736,990.4395800049435,43.758320122114434,491.6116879889533,56.19124146256487,487
19,20260639,count,10,1,2005,1881.036577307496,926,887.5506503877771,39.18145054361928,76.87689978987501,980.0963808314382,34.2555342646137,190.0154581818408,17.633763410958704,199
19,20260639,dev_weighted_count,10,1,2002,1813.117922305887,937,873.2357530172462,39.18145054361928,76.87689978987501,1048.015035833047,36.62937204130296,204.33035555237166,18.962210664142336,188
19,20260639,recent_count,10,0,2003,1889.0513479769725,943,906.5171752135136,39.18145054361928,76.87689978987501,972.0816101619616,33.97540849671895,171.04893335610427,15.873637078578682,182
19,20260639,peak_concurrency,10,1,2005,1881.036577307496,926,887.5506503877771,39.18145054361928,76.87689978987501,980.0963808314382,34.2555342646137,190.0154581818408,17.633763410958704,199
19,20260639,hybrid_count_concurrency_a0.5,10,1,2005,1881.036577307496,926,887.5506503877771,39.18145054361928,76.87689978987501,980.0963808314382,34.2555342646137,190.0154581818408,17.633763410958704,199
19,20260639,count_x_pull_time,10,3,2005,1698.3920072309238,881,763.3945304665357,37.74229039652134,74.87035697704894,1162.7409509080103,40.63917923144446,314.1715781030822,29.15566623750998,244
19,20260639,dev_weighted_count_x_pull_time,10,2,2003,1719.8517145701442,906,792.3269594458841,37.74229039652134,74.87035697704894,1141.28124356879,39.88913693515149,285.2391491237338,26.470686750009776,219
19,20260639,model_exposure_dev,10,6,2006,1570.5376408079003,724,546.8945772683553,0.0,53.301291803465936,1290.5953173310338,45.107841411554695,530.6715313012626,49.247236627151004,401
19,20260639,oracle_impact_upper_bound,10,10,2016,1673.0715750124923,599,450.21580055789224,0.0,46.289512932315446,1188.0613831264418,41.52415845432201,627.3503080117257,58.21919444408684,526
20,20260640,count,10,0,1982,1623.2485872590782,918,771.6024716819242,34.497158328487096,59.392847032141276,773.1543892523023,32.26312088703211,170.4335451996742,18.092041296240104,222
20,20260640,dev_weighted_count,10,0,1978,1589.339463878242,945,779.6371194501902,35.67174446891617,59.392847032141276,807.0635126331385,33.67812177432863,162.39889743140816,17.23913889927412,195
20,20260640,recent_count,10,0,1978,1589.339463878242,945,779.6371194501902,35.67174446891617,59.392847032141276,807.0635126331385,33.67812177432863,162.39889743140816,17.23913889927412,195
20,20260640,peak_concurrency,10,0,1982,1623.2485872590782,918,771.6024716819242,34.497158328487096,59.392847032141276,773.1543892523023,32.26312088703211,170.4335451996742,18.092041296240104,222
20,20260640,hybrid_count_concurrency_a0.5,10,0,1982,1623.2485872590782,918,771.6024716819242,34.497158328487096,59.392847032141276,773.1543892523023,32.26312088703211,170.4335451996742,18.092041296240104,222
20,20260640,count_x_pull_time,10,1,1981,1563.3033600413362,920,751.3583907427449,34.497158328487096,59.392847032141276,833.0996164700443,34.7645877857675,190.6776261388535,20.241012309704416,220
20,20260640,dev_weighted_count_x_pull_time,10,1,1978,1560.9609648268502,942,765.6450125090868,35.67174446891617,59.392847032141276,835.4420116845304,34.86233408459309,176.3910043725116,18.72444378044217,198
20,20260640,model_exposure_dev,10,4,1980,1400.8825827523387,794,576.9795177965333,31.13702292936135,52.859572207816,995.5203937590418,41.54227830280422,365.05649908506507,38.75186219455853,346
20,20260640,oracle_impact_upper_bound,10,10,2011,1430.2381720015371,611,419.3630418464129,0.0,47.10659183536899,966.1648045098434,40.31729279173073,522.6729750351855,55.48333244894167,529
