burst,cold_nodes_start,burst_affected_jobs,pull_prep_events
1,49.142066038617735,24.571033019308867,19.410817933580528
2,29.731248105037206,14.865624052518603,11.743662617918316
3,17.987585487118892,8.993792743559446,7.104987134256865
4,10.882598352862027,5.441299176431014,4.298560323159541
5,6.584038029702486,3.292019014851243,2.6006550754682114
6,3.983382954234275,1.9916914771171375,1.5734120991902953
7,2.4099708550439796,1.2049854275219898,0.9519238661177358
8,1.4580469889262437,0.7290234944631219,0.5759197144542499
9,0.8821272744719938,0.4410636372359969,0.3484349214289388
10,0.5336923530430551,0.26684617652152753,0.21080524146709875
