jobs_processed,warm_mean,warm_p05,warm_p50,warm_p95,cold_mean,cold_p05,cold_p50,cold_p95
50,31.791515995644165,28,32,35,18.208484004355835,15,18,22
100,43.36902220526238,40,43,47,6.630977794737618,3,7,10
150,47.58519893782565,45,48,50,2.414801062174348,0,2,5
200,49.12060266971392,47,49,50,0.879397330286082,0,1,3
250,49.67975015556021,49,50,50,0.3202498444397932,0,0,1
