burst,cold_nodes_start,burst_affected_jobs,pull_prep_events,sequential_affected_jobs,burst_affected_job_minutes,sequential_or_pull_event_minutes,cumulative_burst_affected_job_minutes,cumulative_sequential_or_pull_event_minutes
1,50,50.0,31.79151599564416,31.79151599564416,50.0,31.79151599564416,50.0,31.79151599564416
2,18.20848400435584,18.20848400435584,11.577506209618189,11.577506209618189,18.20848400435584,11.577506209618189,68.20848400435584,43.369022205262354
3,6.63097779473765,6.63097779473765,4.216176732563264,4.216176732563264,6.63097779473765,4.216176732563264,74.83946179909348,47.585198937825616
4,2.4148010621743854,2.4148010621743854,1.5354037318883096,1.5354037318883096,2.4148010621743854,1.5354037318883096,77.25426286126789,49.120602669713925
5,0.8793973302860758,0.8793973302860758,0.559147485846331,0.559147485846331,0.8793973302860759,0.559147485846331,78.13366019155396,49.67975015556026
